Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Social support,Perceptions of corruption,Logged GDP per capita,Healthy life expectancy,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Dystopia (1.83) + residual,Explained by: GDP per capita
El Salvador,38,49.15,4.15,3.02,3.3,3.82,0.31,0.2,8.97,16148,4.04,1.6,17.96,132.51,4.4,1.59,2.59,1.92,1.81,0.32,0.49,6.02,2.51,1.26
Kuwait,39,49.06,7.78,3.3,3.48,4.27,0.71,0.66,5.8,16148,4.31,1.7,21.91,133.67,4.4,2.89,3.08,2.1,1.78,0.34,0.39,4.21,1.62,1.9
Slovenia,40,48.89,6.3,3.78,4.26,4.79,0.12,0.88,4.72,16148,4.92,1.73,20.92,142.5,4.4,2.57,3.81,2.42,2.02,0.39,0.28,4.28,1.88,1.81
Uzbekistan,41,48.73,3.62,4.06,2.96,5.22,0.84,2.2,6.4,16148,4.96,1.52,17.58,130.36,4.4,1.47,3.55,1.84,2.13,1.04,0.79,4.55,1.91,1.22
Lithuania,42,48.57,6.17,3.8,3.54,2.8,0.04,-0.3,7.28,16148,4.9,1.68,20.84,135.2,4.4,2.54,3.7,2.07,1.39,0.16,0.23,4.86,2.15,1.8
Nicaragua,43,48.41,3.39,3.32,3.58,4.13,0.49,1.33,7.66,16148,4.37,1.58,17.11,135.16,4.4,1.31,3.2,2.02,1.73,0.58,0.56,5.34,2.42,1.1
Poland,44,48.38,6.05,3.77,3.83,4.24,0.16,0.33,5.86,16148,4.66,1.54,20.65,139.01,4.4,2.48,3.47,2.25,1.64,0.27,0.43,4.49,1.69,1.76
Kazakhstan,45,47.64,5.95,3.46,3.18,3.89,0.32,0.63,6.53,16148,4.91,1.71,20.27,129.81,4.4,2.35,3.78,1.84,1.65,0.43,0.4,4.47,1.86,1.67
Japan,46,47.48,6.69,3.75,4.9,4.07,0.53,-0.03,4.85,16148,4.65,1.58,21.19,150.1,4.4,2.66,3.37,2.78,1.54,0.06,0.59,3.53,1.49,1.84
Cyprus,47,47.27,6.37,2.73,4.57,3.43,0.15,1.28,5.56,16148,4.02,1.78,20.98,147.6,4.4,2.59,2.82,2.65,1.37,0.53,0.17,4.61,2.04,1.82
Romania,48,47.23,5.71,2.76,3.68,3.85,0.02,0.15,6.56,16148,4.11,1.88,20.39,134.56,4.4,2.4,3.03,2.04,1.7,0.15,0.01,5.24,2.45,1.72
Kosovo,49,47.18,4.39,2.61,3.05,3.32,0.17,1.87,7.59,16148,4.1,1.87,18.52,127.7,4.4,1.78,2.94,1.72,1.75,0.99,0.06,5.92,2.63,1.36
Ecuador,50,47.18,4.64,3.14,3.77,4.1,0.5,0.36,7.6,16148,4.3,1.85,18.56,137.3,4.4,1.79,2.91,2.19,1.68,0.3,0.23,4.91,1.87,1.35
Czech Republic,51,47.15,6.34,3.65,4.14,4.05,0.1,-0.03,8.09,14126,4.84,1.8,20.96,140.85,4.4,2.58,2.5,1.6,1.09,0.1,0.1,5.92,0.0,0.0
South Korea,52,47.08,6.57,2.81,4.74,2.53,0.22,0.8,6.45,16148,4.02,1.62,21.16,147.5,4.4,2.65,2.78,2.66,1.03,0.42,0.41,4.21,1.66,1.85
Mauritius,53,46.75,5.55,2.95,3.49,4.35,0.17,1.5,5.66,16148,4.6,1.7,19.96,133.11,4.4,2.25,3.51,1.91,1.77,0.47,0.29,4.47,1.97,1.59
Estonia,54,46.74,6.19,3.76,3.76,4.18,0.52,0.24,4.77,16148,4.94,1.49,20.82,137.4,4.4,2.54,3.76,2.21,1.91,0.37,0.8,3.73,1.44,1.79
Latvia,55,46.54,5.93,3.45,3.49,2.92,0.23,0.33,5.82,16148,4.76,1.73,20.49,133.91,4.4,2.43,3.68,2.0,1.24,0.23,0.27,4.66,1.92,1.73
Jamaica,56,46.36,4.28,3.48,3.45,4.23,0.12,0.61,6.29,16148,4.76,1.83,18.19,134.6,4.4,1.67,3.39,2.03,1.74,0.3,0.12,5.35,2.16,1.3
Bolivia,57,46.13,3.84,3.04,2.7,4.51,0.23,0.76,8.18,16148,4.05,1.78,17.9,127.5,4.4,1.57,2.8,1.7,1.8,0.39,0.2,5.23,2.11,1.26
Moldova,58,46.02,3.36,3.1,3.09,2.84,0.05,0.85,9.29,16148,4.33,1.83,18.23,130.71,4.4,1.69,3.13,1.85,1.49,0.41,0.06,5.04,2.14,1.42
Malaysia,59,46.0,6.05,3.24,3.46,3.98,0.26,1.97,6.24,16148,4.06,1.76,20.5,134.2,4.4,2.43,2.91,2.0,1.87,0.76,0.25,3.1,1.47,1.69
Peru,60,45.84,4.83,3.01,3.52,3.87,0.16,0.28,7.53,16148,4.19,1.85,18.91,136.35,4.4,1.9,2.91,2.18,1.59,0.27,0.1,4.96,1.89,1.4
Russia,61,45.47,5.99,3.76,3.13,3.25,0.1,-0.03,7.07,16148,4.74,1.77,20.32,128.8,4.4,2.37,3.47,1.78,1.21,0.33,0.19,3.96,1.49,1.68
Paraguay,62,45.26,4.28,3.92,3.22,4.29,0.25,1.2,6.04,16148,4.79,1.87,18.84,131.54,4.4,1.88,3.47,1.91,1.82,0.58,0.16,4.14,1.56,1.41
Belarus,63,44.88,5.43,3.73,3.49,2.8,0.52,0.26,6.24,16148,4.78,1.56,19.63,132.36,4.4,2.14,3.55,1.94,0.96,0.2,0.67,4.05,1.81,1.56
Croatia,64,44.8,5.76,2.37,3.85,2.9,0.11,0.48,7.13,16148,4.23,1.92,20.29,141.01,4.4,2.36,3.53,2.31,1.37,0.33,0.01,4.0,1.88,1.7
Serbia,65,44.73,5.0,3.08,3.58,2.64,0.11,0.82,6.25,16148,4.51,1.76,19.47,136.81,4.4,2.09,3.34,2.12,1.42,0.56,0.21,4.71,2.03,1.55
Philippines,66,44.73,3.96,3.17,2.69,4.79,0.34,0.69,5.96,16148,4.28,1.69,18.07,123.93,4.4,1.63,2.99,1.54,1.95,0.36,0.4,5.37,2.28,1.27
Hungary,67,44.73,6.02,3.48,3.68,2.63,0.11,0.07,4.91,16148,4.68,1.81,20.61,135.61,4.4,2.47,3.74,2.09,1.33,0.22,0.13,4.55,1.81,1.75
Portugal,68,44.38,6.16,3.45,4.35,4.31,0.04,-0.01,3.9,16148,4.63,1.82,20.68,145.0,4.4,2.49,3.36,2.52,1.87,0.1,0.1,3.98,1.69,1.76
Libya,69,44.21,5.33,3.43,2.97,3.75,0.31,0.58,6.32,16148,4.31,1.64,19.41,124.6,4.4,2.07,2.96,1.66,1.4,0.38,0.53,4.22,1.54,1.48
Honduras,70,44.1,3.28,2.85,3.31,3.71,0.21,1.28,6.21,16148,4.07,1.76,17.07,134.5,4.4,1.3,2.86,1.94,1.73,0.7,0.25,5.4,2.61,1.11
Turkmenistan,71,43.57,5.24,3.76,2.59,3.78,0.85,1.55,5.92,16148,5.01,1.84,19.38,124.62,4.4,2.05,4.0,1.57,1.77,1.0,0.1,2.52,1.16,1.48
Algeria,72,43.35,5.06,3.06,3.33,1.84,0.48,0.16,8.41,16148,3.92,1.74,18.88,131.91,4.4,1.89,2.88,1.94,0.35,0.37,0.4,4.08,1.74,1.36
Montenegro,73,43.13,5.24,2.89,3.63,2.34,0.36,0.67,6.08,16148,4.35,1.76,19.69,137.2,4.4,2.17,3.18,2.14,1.16,0.45,0.26,4.13,1.62,1.57
Bosnia and Herzegovina,74,43.06,4.61,2.63,3.81,2.24,0.0,1.57,6.44,16148,3.99,1.87,19.05,135.91,4.4,1.95,3.19,2.1,1.15,0.77,0.01,4.75,1.87,1.47
Kyrgyzstan,75,42.98,2.71,3.5,3.08,4.18,0.13,1.97,6.05,16148,4.63,1.85,16.69,128.51,4.4,1.18,3.42,1.82,1.98,0.78,0.08,4.71,2.09,1.07
Dominican Republic,76,42.97,5.0,3.57,3.21,4.45,0.38,0.59,4.23,16148,4.58,1.68,19.47,131.91,4.4,2.09,3.21,1.87,1.75,0.3,0.44,4.02,1.75,1.54
Greece,77,42.95,6.03,2.92,4.37,1.55,0.1,-0.59,5.68,16148,4.0,1.76,20.41,145.01,4.4,2.4,2.96,2.51,0.67,0.02,0.23,4.58,2.12,1.7
Venezuela,78,42.53,5.26,3.72,3.42,2.31,0.26,-0.05,7.96,16148,4.65,1.76,18.05,133.21,4.4,1.62,3.21,1.92,0.84,0.39,0.22,3.88,2.79,0.0
China,79,42.14,5.02,2.9,3.99,4.35,0.08,-0.08,5.8,16148,3.88,1.71,19.36,138.88,4.4,2.05,2.88,2.24,1.89,0.27,0.38,3.32,1.52,1.51
Indonesia,80,42.13,4.6,3.24,2.81,4.07,0.02,3.74,5.33,16148,4.04,1.79,18.73,124.39,4.4,1.85,2.82,1.58,1.79,1.55,0.13,3.47,1.3,1.38
Mongolia,81,42.04,4.71,3.88,2.96,3.3,0.09,1.72,3.99,16148,4.92,1.79,18.81,124.8,4.4,1.87,3.72,1.52,1.15,0.77,0.16,4.3,2.0,1.39
Vietnam,82,42.02,3.62,2.98,3.61,4.77,0.31,0.79,5.61,16148,4.41,1.74,17.78,135.99,4.4,1.54,3.06,2.05,2.04,0.4,0.29,3.9,1.74,1.25
Turkey,83,41.9,5.76,3.16,3.51,2.47,0.38,0.1,6.26,16148,4.39,1.74,20.37,134.1,4.4,2.39,2.87,2.07,0.7,0.27,0.34,3.42,1.06,1.71
Tajikistan,84,41.89,2.37,2.88,2.95,3.72,0.43,1.07,6.35,16148,3.96,1.32,16.12,128.39,4.4,0.98,3.12,1.7,1.64,0.45,0.77,4.88,1.9,0.97
Pakistan,85,41.86,3.34,1.35,2.28,2.61,0.37,1.54,9.08,16148,3.04,1.74,16.94,116.96,4.4,1.25,1.71,1.17,1.27,0.66,0.33,5.76,1.94,1.05
Azerbaijan,86,41.65,5.37,2.85,3.1,3.5,0.52,-0.22,6.04,16148,3.96,1.42,19.26,131.16,4.4,2.02,3.11,1.83,1.59,0.11,0.86,3.43,1.1,1.46
Morocco,87,40.93,4.03,1.8,3.25,3.51,0.26,-0.27,7.86,16148,2.73,1.77,17.84,132.1,4.4,1.55,1.13,1.87,1.42,0.09,0.27,5.13,2.4,1.21
Nepal,88,39.85,2.16,2.74,2.79,3.74,0.2,1.99,6.17,16148,4.01,1.63,16.05,128.01,4.4,0.96,2.59,1.66,1.49,0.82,0.39,4.66,2.22,0.98
